2018-09-25 17:06:10,042 [views:get_web_data.17] [DEBUG]- /get_web_data/get_dgtj_echart?parm=%7B%22vid%22:%222%22%7D
2018-09-25 17:06:10,062 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 
2018-09-25 17:06:10,072 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,
2018-09-25 17:06:10,082 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,
2018-09-25 17:06:10,091 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,
2018-09-25 17:06:10,099 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,
2018-09-25 17:06:10,108 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,
2018-09-25 17:06:10,118 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,
2018-09-25 17:06:10,127 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,
2018-09-25 17:06:10,135 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,144 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,153 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,161 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,170 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,177 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,187 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,198 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,210 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-09-25 17:06:10,220 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,
2018-09-25 17:06:10,232 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,
2018-09-25 17:06:10,242 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,91981749,
2018-09-25 17:06:10,250 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,91981749,0,
2018-09-25 17:06:10,259 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,91981749,0,0,
2018-09-25 17:06:10,269 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,91981749,0,0,0,
2018-09-25 17:06:10,276 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,91981749,0,0,0,0,
2018-09-25 17:06:10,286 [actions:get_dgtj_echart.83] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91753254,0,91981749,0,0,0,0,0,
2018-09-25 17:12:20,217 [views:get_web_data.17] [DEBUG]- /get_web_data/get_dgtj_echart?parm=%7B%22vid%22:%222%22%7D
2018-09-25 17:12:20,242 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 
2018-09-25 17:12:20,253 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,
2018-09-25 17:12:20,263 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,
2018-09-25 17:12:20,276 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,
2018-09-25 17:12:20,286 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,
2018-09-25 17:12:20,299 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,
2018-09-25 17:12:20,308 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,
2018-09-25 17:12:20,318 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,
2018-09-25 17:12:20,328 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,
2018-09-25 17:12:20,339 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,
2018-09-25 17:12:20,351 [actions:get_dgtj_echart.84] [DEBUG]- {u'name': u'B\u7ad9'}, 0,0,0,0,0,0,0,0,0,0,
